trade_id,side,level_type,level_row,level_detected_at,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,holding_minutes
24,long,resistance,425,2024-09-13 01:30:00,2024-09-13 13:35:00,2024-09-13 13:46:00,69.5,69.779,69.779,69.24,take_profit,0.279,11
25,short,support,423,2024-09-13 00:30:00,2024-09-13 19:51:00,2024-09-15 22:09:00,69.24,69.136,69.136,69.448,take_profit,0.104,3018
26,long,resistance,474,2024-09-16 02:30:00,2024-09-16 10:50:00,2024-09-16 10:58:00,69.0,68.8,69.1,68.8,stop_loss,-0.2,8
27,long,resistance,406,2024-09-12 15:30:00,2024-09-16 15:31:00,2024-09-16 15:46:00,69.81,69.92,69.92,69.59,take_profit,0.11,15
28,long,resistance,442,2024-09-13 10:00:00,2024-09-17 09:47:00,2024-09-17 10:56:00,69.92,70.091,70.091,69.578,take_profit,0.171,69
29,short,support,326,2024-08-22 02:30:00,2024-09-17 16:14:00,2024-09-17 16:33:00,71.58,71.796,71.472,71.796,stop_loss,-0.216,19
30,long,resistance,465,2024-09-15 22:00:00,2024-09-18 08:15:00,2024-09-18 08:38:00,69.39,69.19,69.49,69.19,stop_loss,-0.2,23
31,short,support,560,2024-09-17 22:30:00,2024-09-18 14:04:00,2024-09-18 14:21:00,69.91,69.59,69.59,70.11,take_profit,0.32,17
32,long,resistance,498,2024-09-16 14:30:00,2024-09-19 14:52:00,2024-09-19 15:10:00,70.7,70.844,70.844,70.412,take_profit,0.144,18
33,long,resistance,530,2024-09-17 07:00:00,2024-09-20 08:29:00,2024-09-20 08:52:00,70.75,70.9525,70.9525,70.55,take_profit,0.2025,23
34,short,support,662,2024-09-20 02:30:00,2024-09-20 14:38:00,2024-09-20 15:01:00,70.77,71.157,70.458,71.157,stop_loss,-0.387,23
35,short,support,648,2024-09-19 19:00:00,2024-09-20 15:46:00,2024-09-20 16:21:00,70.96,71.2,70.84,71.2,stop_loss,-0.24,35
36,short,support,719,2024-09-23 07:30:00,2024-09-23 20:36:00,2024-09-24 01:12:00,70.71,70.91,70.446,70.91,stop_loss,-0.2,276
37,short,support,68,2024-09-03 11:00:00,2024-09-24 09:06:00,2024-09-24 14:01:00,72.06,71.676,71.676,72.828,take_profit,0.384,295
38,long,resistance,707,2024-09-23 01:30:00,2024-09-24 14:10:00,2024-09-24 14:11:00,71.65,71.75,71.75,71.45,take_profit,0.1,1
39,long,resistance,715,2024-09-23 05:30:00,2024-09-24 14:18:00,2024-09-24 14:34:00,71.68,71.48,71.896,71.48,stop_loss,-0.2,16
40,long,resistance,728,2024-09-23 12:00:00,2024-09-24 14:44:00,2024-09-24 14:57:00,71.45,71.63,71.63,71.09,take_profit,0.18,13
41,long,resistance,653,2024-09-19 22:00:00,2024-09-24 15:28:00,2024-09-24 15:29:00,71.2,71.425,71.425,70.96,take_profit,0.225,1
42,long,resistance,594,2024-09-18 15:30:00,2024-09-25 13:00:00,2024-09-25 13:05:00,70.26,70.413,70.413,69.954,take_profit,0.153,5
43,short,support,669,2024-09-20 06:00:00,2024-09-25 13:40:00,2024-09-25 13:42:00,70.88,70.78,70.78,71.08,take_profit,0.1,2
44,short,support,459,2024-09-13 18:30:00,2024-09-26 09:10:00,2024-09-26 09:22:00,68.47,68.15,68.15,68.67,take_profit,0.32,12
45,short,support,583,2024-09-18 10:00:00,2024-09-26 09:42:00,2024-09-26 09:45:00,68.58,68.78,68.48,68.78,stop_loss,-0.2,3
46,short,support,471,2024-09-16 01:00:00,2024-09-26 09:47:00,2024-09-26 09:53:00,68.7,68.592,68.592,68.916,take_profit,0.108,6
47,short,support,403,2024-09-12 14:00:00,2024-09-26 14:52:00,2024-09-26 15:29:00,67.81,68.431,67.202,68.431,stop_loss,-0.621,37
48,long,resistance,390,2024-09-12 07:30:00,2024-09-30 07:49:00,2024-09-30 08:00:00,68.5,68.617,68.617,68.3,take_profit,0.117,11
49,long,resistance,916,2024-09-27 12:00:00,2024-09-30 10:11:00,2024-09-30 11:21:00,68.02,67.81,68.398,67.81,stop_loss,-0.21,70
50,short,support,604,2024-09-18 20:30:00,2024-09-30 15:11:00,2024-09-30 15:16:00,68.95,68.846,68.846,69.15,take_profit,0.104,5
51,long,resistance,966,2024-09-30 13:30:00,2024-09-30 17:15:00,2024-09-30 17:41:00,68.53,68.33,68.737,68.33,stop_loss,-0.2,26
52,short,support,963,2024-09-30 12:00:00,2024-10-01 10:14:00,2024-10-01 11:02:00,67.57,67.975,67.346,67.975,stop_loss,-0.405,48
53,short,support,737,2024-09-23 16:30:00,2024-10-01 13:37:00,2024-10-01 13:38:00,69.49,69.29,69.29,69.69,take_profit,0.2,1
54,short,support,686,2024-09-20 14:30:00,2024-10-01 13:54:00,2024-10-01 14:06:00,70.37,70.05,70.05,70.57,take_profit,0.32,12
55,long,resistance,849,2024-09-26 02:00:00,2024-10-01 18:10:00,2024-10-01 18:16:00,70.01,70.11,70.11,69.81,take_profit,0.1,6
56,long,resistance,550,2024-09-17 17:00:00,2024-10-02 12:43:00,2024-10-02 13:37:00,71.92,72.316,72.316,71.58,take_profit,0.396,54
57,long,resistance,34,2024-10-02 20:30:00,2024-10-03 08:14:00,2024-10-03 08:25:00,71.05,70.85,71.15,70.85,stop_loss,-0.2,11
58,short,support,19,2024-10-02 13:00:00,2024-10-03 09:45:00,2024-10-03 09:52:00,71.65,71.55,71.55,71.85,take_profit,0.1,7
59,short,support,359,2024-08-22 19:00:00,2024-10-03 14:24:00,2024-10-03 14:27:00,72.81,73.107,72.282,73.107,stop_loss,-0.297,3
60,long,resistance,80,2024-10-03 20:00:00,2024-10-04 12:35:00,2024-10-04 13:02:00,74.09,74.378,74.378,73.514,take_profit,0.288,27
61,short,support,521,2024-08-28 06:00:00,2024-10-04 17:04:00,2024-10-04 18:14:00,75.42,75.164,75.164,75.699,take_profit,0.256,70
62,long,resistance,37,2024-09-02 16:30:00,2024-10-04 18:43:00,2024-10-04 19:02:00,74.41,74.52,74.52,74.19,take_profit,0.11,19
63,long,resistance,104,2024-10-04 08:30:00,2024-10-04 19:15:00,2024-10-06 22:00:00,74.54,74.34,74.801,74.34,stop_loss,-0.2,3045
64,long,resistance,561,2024-08-29 02:30:00,2024-10-08 13:25:00,2024-10-08 13:44:00,74.83,74.52,75.388,74.52,stop_loss,-0.31,19
65,long,resistance,22,2024-09-02 09:00:00,2024-10-08 14:20:00,2024-10-08 14:26:00,73.91,73.136,74.297,73.136,stop_loss,-0.774,6
66,long,resistance,378,2024-08-23 05:00:00,2024-10-09 11:03:00,2024-10-09 11:18:00,73.14,72.94,73.482,72.94,stop_loss,-0.2,15
67,short,support,234,2024-10-09 03:00:00,2024-10-09 12:41:00,2024-10-09 12:52:00,73.53,73.146,73.146,73.872,take_profit,0.384,11
68,long,resistance,15,2024-10-02 11:00:00,2024-10-09 13:18:00,2024-10-09 13:35:00,72.49,72.06,73.075,72.06,stop_loss,-0.43,17
69,short,support,374,2024-08-23 03:00:00,2024-10-09 15:21:00,2024-10-09 15:22:00,72.83,73.078,72.706,73.078,stop_loss,-0.248,1
70,long,resistance,69,2024-10-03 14:30:00,2024-10-10 12:00:00,2024-10-10 12:13:00,73.95,74.139,74.139,73.572,take_profit,0.189,13
71,short,support,325,2024-10-11 01:30:00,2024-10-11 08:38:00,2024-10-11 08:40:00,75.35,75.25,75.25,75.55,take_profit,0.1,2
72,long,resistance,297,2024-10-10 11:00:00,2024-10-14 07:01:00,2024-10-14 07:06:00,74.57,74.37,74.687,74.37,stop_loss,-0.2,5
73,long,resistance,240,2024-10-09 06:00:00,2024-10-14 07:22:00,2024-10-14 07:40:00,74.26,74.4243,74.4243,73.9315,take_profit,0.1643,18
74,short,support,337,2024-10-11 07:30:00,2024-10-14 08:29:00,2024-10-14 08:32:00,74.53,74.43,74.43,74.73,take_profit,0.1,3
75,long,resistance,287,2024-10-10 06:00:00,2024-10-14 09:15:00,2024-10-14 09:53:00,73.93,73.57,74.11,73.57,stop_loss,-0.36,38
76,long,resistance,261,2024-10-09 16:30:00,2024-10-14 10:08:00,2024-10-14 10:20:00,73.48,73.6735,73.6735,73.093,take_profit,0.1935,12
77,long,resistance,450,2024-10-15 17:00:00,2024-10-16 08:05:00,2024-10-16 08:08:00,70.73,70.83,70.83,70.53,take_profit,0.1,3
78,long,resistance,866,2024-09-26 10:30:00,2024-10-18 19:03:00,2024-10-18 19:36:00,68.76,68.958,68.958,68.56,take_profit,0.198,33
79,short,support,494,2024-10-16 15:30:00,2024-10-21 08:35:00,2024-10-21 08:37:00,69.64,69.54,69.54,69.84,take_profit,0.1,2
80,short,support,437,2024-10-15 10:30:00,2024-10-21 09:04:00,2024-10-21 09:11:00,69.71,69.61,69.61,69.91,take_profit,0.1,7
81,short,support,25,2024-10-02 16:00:00,2024-10-21 09:49:00,2024-10-21 10:34:00,69.87,70.07,69.742,70.07,stop_loss,-0.2,45
82,short,support,574,2024-10-18 08:30:00,2024-10-21 12:36:00,2024-10-21 12:38:00,69.99,70.19,69.89,70.19,stop_loss,-0.2,2
83,short,support,257,2024-10-09 14:30:00,2024-10-22 13:55:00,2024-10-22 13:56:00,71.53,71.73,71.43,71.73,stop_loss,-0.2,1
84,long,resistance,541,2024-10-17 15:30:00,2024-10-23 09:01:00,2024-10-23 09:17:00,70.99,71.09,71.09,70.79,take_profit,0.1,16
85,long,resistance,498,2024-10-16 17:30:00,2024-10-23 10:18:00,2024-10-23 10:26:00,70.7,70.412,70.844,70.412,stop_loss,-0.288,8
86,long,resistance,628,2024-10-21 12:00:00,2024-10-23 10:41:00,2024-10-23 10:50:00,70.35,70.512,70.512,70.026,take_profit,0.162,9
87,long,resistance,727,2024-10-23 14:30:00,2024-10-24 11:19:00,2024-10-24 11:37:00,71.49,71.29,71.634,71.29,stop_loss,-0.2,18
88,long,resistance,658,2024-10-22 03:30:00,2024-10-24 16:12:00,2024-10-24 16:17:00,69.93,70.03,70.03,69.73,take_profit,0.1,5
89,short,support,678,2024-10-22 13:30:00,2024-10-24 18:39:00,2024-10-24 18:48:00,70.38,70.28,70.28,70.58,take_profit,0.1,9
90,short,support,890,2024-10-29 02:00:00,2024-10-29 07:17:00,2024-10-29 08:00:00,67.62,67.82,67.52,67.82,stop_loss,-0.2,43
91,short,support,894,2024-10-29 04:00:00,2024-10-29 18:12:00,2024-10-30 06:34:00,67.38,67.892,67.124,67.892,stop_loss,-0.512,742
92,long,resistance,941,2024-09-30 01:00:00,2024-10-31 07:08:00,2024-10-31 07:32:00,68.98,68.78,69.08,68.78,stop_loss,-0.2,24
93,short,support,663,2024-10-22 06:00:00,2024-10-31 13:04:00,2024-10-31 13:05:00,69.65,69.55,69.55,69.85,take_profit,0.1,1
94,short,support,646,2024-10-21 21:00:00,2024-10-31 15:25:00,2024-10-31 15:36:00,69.75,69.65,69.65,69.95,take_profit,0.1,11
95,long,resistance,614,2024-10-21 05:00:00,2024-10-31 16:28:00,2024-10-31 16:36:00,69.21,69.01,69.372,69.01,stop_loss,-0.2,8
96,long,resistance,975,2024-10-30 21:00:00,2024-10-31 16:43:00,2024-10-31 17:30:00,69.17,68.95,69.28,68.95,stop_loss,-0.22,47
97,short,support,721,2024-10-23 11:30:00,2024-10-31 18:38:00,2024-10-31 18:39:00,70.13,70.33,70.018,70.33,stop_loss,-0.2,1
98,long,resistance,1028,2024-11-01 00:30:00,2024-11-01 10:47:00,2024-11-01 11:10:00,70.69,70.795,70.795,70.48,take_profit,0.105,23
99,long,resistance,785,2024-10-24 20:00:00,2024-11-01 11:28:00,2024-11-01 11:50:00,70.55,70.676,70.676,70.35,take_profit,0.126,22
100,long,resistance,1019,2024-10-31 19:30:00,2024-11-01 14:20:00,2024-11-01 14:22:00,70.81,70.61,70.972,70.61,stop_loss,-0.2,2
101,long,resistance,820,2024-10-25 14:00:00,2024-11-04 13:42:00,2024-11-04 14:44:00,71.4,71.598,71.598,71.004,take_profit,0.198,62
102,long,resistance,10,2024-11-01 09:00:00,2024-11-05 07:04:00,2024-11-05 07:17:00,71.45,71.55,71.55,71.25,take_profit,0.1,13
103,long,resistance,424,2024-10-15 04:00:00,2024-11-05 18:15:00,2024-11-05 18:32:00,71.84,71.64,71.94,71.64,stop_loss,-0.2,17
104,long,resistance,57,2024-11-04 10:00:00,2024-11-05 18:47:00,2024-11-05 18:55:00,71.52,71.628,71.628,71.32,take_profit,0.108,8
105,short,support,87,2024-11-05 01:30:00,2024-11-06 07:57:00,2024-11-06 08:01:00,71.29,71.158,71.158,71.49,take_profit,0.132,4
106,short,support,122,2024-11-05 19:00:00,2024-11-06 10:05:00,2024-11-06 10:07:00,71.4,71.3,71.3,71.6,take_profit,0.1,2
107,short,support,69,2024-11-04 16:00:00,2024-11-06 14:27:00,2024-11-06 14:33:00,70.66,70.86,70.516,70.86,stop_loss,-0.2,6
108,long,resistance,73,2024-11-04 18:00:00,2024-11-07 07:21:00,2024-11-07 08:39:00,71.64,71.44,71.74,71.44,stop_loss,-0.2,78
109,short,support,180,2024-11-07 01:00:00,2024-11-07 14:51:00,2024-11-07 14:54:00,71.65,71.55,71.55,71.85,take_profit,0.1,3
110,short,support,6,2024-11-01 07:00:00,2024-11-08 19:40:00,2024-11-10 23:00:00,70.48,70.38,70.38,70.68,take_profit,0.1,3080
111,short,support,43,2024-11-04 03:00:00,2024-11-11 07:30:00,2024-11-11 08:38:00,70.36,70.56,70.26,70.56,stop_loss,-0.2,68
112,long,resistance,841,2024-10-28 01:00:00,2024-11-11 12:53:00,2024-11-11 13:27:00,68.88,68.68,68.98,68.68,stop_loss,-0.2,34
113,short,support,969,2024-10-30 18:00:00,2024-11-11 20:15:00,2024-11-12 02:44:00,68.25,67.898,67.898,68.475,take_profit,0.352,389
114,short,support,318,2024-11-11 23:30:00,2024-11-12 07:14:00,2024-11-12 07:27:00,68.06,67.96,67.96,68.26,take_profit,0.1,13
115,short,support,997,2024-10-31 08:30:00,2024-11-12 08:32:00,2024-11-12 08:35:00,68.3,68.2,68.2,68.5,take_profit,0.1,3
116,short,support,984,2024-10-31 02:00:00,2024-11-12 11:22:00,2024-11-12 11:48:00,68.77,68.67,68.67,68.97,take_profit,0.1,26
117,long,resistance,322,2024-11-12 01:30:00,2024-11-12 12:22:00,2024-11-12 12:27:00,68.32,68.482,68.482,68.12,take_profit,0.162,5
118,short,support,1015,2024-10-31 17:30:00,2024-11-12 14:03:00,2024-11-12 14:07:00,68.92,68.82,68.82,69.12,take_profit,0.1,4
119,long,resistance,373,2024-11-13 03:30:00,2024-11-13 12:06:00,2024-11-13 12:14:00,68.45,68.25,68.55,68.25,stop_loss,-0.2,8
120,short,support,383,2024-11-13 08:30:00,2024-11-13 15:58:00,2024-11-13 16:04:00,68.0,68.2,67.848,68.2,stop_loss,-0.2,6
121,short,support,421,2024-11-14 04:00:00,2024-11-15 09:00:00,2024-11-15 09:01:00,67.98,67.88,67.88,68.18,take_profit,0.1,1
122,short,support,450,2024-11-14 18:30:00,2024-11-15 09:30:00,2024-11-15 09:35:00,68.1,68.0,68.0,68.3,take_profit,0.1,5
123,short,support,408,2024-11-13 21:00:00,2024-11-15 09:45:00,2024-11-15 10:01:00,67.86,68.06,67.76,68.06,stop_loss,-0.2,16
124,short,support,466,2024-11-15 03:00:00,2024-11-15 11:33:00,2024-11-15 11:43:00,68.22,68.42,68.12,68.42,stop_loss,-0.2,10
125,short,support,900,2024-10-29 07:00:00,2024-11-18 07:19:00,2024-11-18 08:15:00,67.19,67.39,67.09,67.39,stop_loss,-0.2,56
126,short,support,881,2024-09-26 18:00:00,2024-11-18 09:44:00,2024-11-18 09:49:00,67.29,67.49,67.19,67.49,stop_loss,-0.2,5
127,short,support,476,2024-11-15 08:00:00,2024-11-18 09:50:00,2024-11-18 10:35:00,67.51,67.406,67.406,67.718,take_profit,0.104,45
128,long,resistance,486,2024-11-15 13:00:00,2024-11-19 08:49:00,2024-11-19 09:16:00,68.69,68.79,68.79,68.49,take_profit,0.1,27
129,long,resistance,493,2024-11-15 16:30:00,2024-11-19 09:24:00,2024-11-19 09:28:00,68.62,68.72,68.72,68.42,take_profit,0.1,4
130,short,support,158,2024-11-06 13:30:00,2024-11-19 15:11:00,2024-11-19 15:24:00,69.74,69.64,69.64,69.94,take_profit,0.1,13
131,long,resistance,603,2024-11-20 01:00:00,2024-11-20 10:30:00,2024-11-20 10:44:00,69.43,69.53,69.53,69.23,take_profit,0.1,14
132,short,support,144,2024-11-06 06:30:00,2024-11-21 11:43:00,2024-11-21 11:45:00,70.23,70.13,70.13,70.43,take_profit,0.1,2
133,long,resistance,620,2024-11-20 09:30:00,2024-11-21 14:41:00,2024-11-21 14:44:00,69.92,70.02,70.02,69.72,take_profit,0.1,3
134,long,resistance,630,2024-11-20 14:30:00,2024-11-21 14:52:00,2024-11-21 14:56:00,69.96,70.06,70.06,69.76,take_profit,0.1,4
135,long,resistance,585,2024-11-19 15:30:00,2024-11-21 15:27:00,2024-11-21 15:28:00,69.74,69.84,69.84,69.54,take_profit,0.1,1
136,short,support,243,2024-11-08 09:00:00,2024-11-22 15:38:00,2024-11-22 15:47:00,71.05,71.25,70.95,71.25,stop_loss,-0.2,9
137,long,resistance,702,2024-11-22 03:30:00,2024-11-25 07:33:00,2024-11-25 08:38:00,70.58,70.68,70.68,70.38,take_profit,0.1,65
138,long,resistance,644,2024-11-20 21:30:00,2024-11-25 15:55:00,2024-11-25 15:56:00,69.18,69.28,69.28,68.98,take_profit,0.1,1
139,long,resistance,786,2024-11-25 22:00:00,2024-11-26 07:28:00,2024-11-26 07:43:00,69.12,68.92,69.22,68.92,stop_loss,-0.2,15
140,short,support,606,2024-11-20 02:30:00,2024-11-26 08:22:00,2024-11-26 08:32:00,69.16,69.36,69.06,69.36,stop_loss,-0.2,10
141,short,support,840,2024-11-27 02:00:00,2024-11-27 19:17:00,2024-11-27 19:28:00,68.58,68.78,68.48,68.78,stop_loss,-0.2,11
142,long,resistance,885,2024-11-28 01:00:00,2024-11-28 15:01:00,2024-11-28 15:16:00,68.86,68.96,68.96,68.66,take_profit,0.1,15
143,long,resistance,897,2024-11-28 07:00:00,2024-11-28 16:00:00,2024-11-28 16:18:00,68.79,68.59,68.89,68.59,stop_loss,-0.2,18
144,short,support,928,2024-11-29 01:30:00,2024-11-29 12:15:00,2024-11-29 12:28:00,68.65,68.85,68.55,68.85,stop_loss,-0.2,13
145,short,support,574,2024-11-19 10:00:00,2024-12-02 08:11:00,2024-12-02 08:24:00,68.48,68.68,68.38,68.68,stop_loss,-0.2,13
146,short,support,917,2024-11-28 17:00:00,2024-12-02 09:00:00,2024-12-02 09:03:00,68.56,68.76,68.46,68.76,stop_loss,-0.2,3
147,short,support,873,2024-11-27 18:30:00,2024-12-02 19:35:00,2024-12-02 20:09:00,68.18,68.08,68.08,68.38,take_profit,0.1,34
148,long,resistance,97,2024-12-04 00:30:00,2024-12-04 08:34:00,2024-12-04 08:55:00,70.08,69.88,70.18,69.88,stop_loss,-0.2,21
149,long,resistance,76,2024-12-03 13:30:00,2024-12-04 16:27:00,2024-12-04 16:28:00,69.47,69.5735,69.5735,69.263,take_profit,0.1035,1
150,long,resistance,906,2024-11-28 11:30:00,2024-12-04 17:20:00,2024-12-04 17:39:00,69.3,69.4,69.4,69.1,take_profit,0.1,19
151,long,resistance,52,2024-12-03 01:30:00,2024-12-05 17:58:00,2024-12-05 18:07:00,68.24,68.34,68.34,68.04,take_profit,0.1,9
152,short,support,213,2024-12-06 11:30:00,2024-12-06 17:00:00,2024-12-06 17:42:00,67.55,67.362,67.362,67.926,take_profit,0.188,42
153,short,support,55,2024-12-03 03:00:00,2024-12-09 07:47:00,2024-12-09 08:13:00,67.91,68.11,67.81,68.11,stop_loss,-0.2,26
154,short,support,826,2024-11-26 18:30:00,2024-12-09 08:13:00,2024-12-09 08:21:00,68.05,68.25,67.95,68.25,stop_loss,-0.2,8
155,short,support,947,2024-11-29 11:00:00,2024-12-09 08:21:00,2024-12-09 08:34:00,68.23,68.13,68.13,68.43,take_profit,0.1,13
156,short,support,195,2024-12-06 02:30:00,2024-12-09 09:43:00,2024-12-09 10:10:00,68.01,68.21,67.91,68.21,stop_loss,-0.2,27
157,short,support,13,2024-12-02 05:30:00,2024-12-09 13:51:00,2024-12-09 13:53:00,68.29,68.49,68.19,68.49,stop_loss,-0.2,2
158,short,support,156,2024-12-05 06:30:00,2024-12-09 13:53:00,2024-12-09 13:56:00,68.45,68.33,68.33,68.65,take_profit,0.12,3
159,long,resistance,203,2024-12-06 06:30:00,2024-12-09 19:29:00,2024-12-09 19:54:00,68.42,68.22,68.52,68.22,stop_loss,-0.2,25
160,long,resistance,254,2024-12-09 08:30:00,2024-12-09 19:58:00,2024-12-10 02:47:00,68.28,68.08,68.38,68.08,stop_loss,-0.2,409
161,short,support,280,2024-12-09 21:30:00,2024-12-10 07:00:00,2024-12-10 07:41:00,68.1,68.0,68.0,68.3,take_profit,0.1,41
162,long,resistance,351,2024-12-11 10:00:00,2024-12-11 14:51:00,2024-12-11 14:57:00,69.37,69.47,69.47,69.17,take_profit,0.1,6
163,long,resistance,933,2024-11-29 04:00:00,2024-12-11 15:49:00,2024-12-11 15:50:00,69.23,69.33,69.33,69.03,take_profit,0.1,1
164,short,support,121,2024-12-04 12:30:00,2024-12-11 16:14:00,2024-12-11 16:30:00,69.75,69.65,69.65,69.95,take_profit,0.1,16
165,short,support,100,2024-12-04 02:00:00,2024-12-11 16:43:00,2024-12-11 16:47:00,69.87,70.07,69.77,70.07,stop_loss,-0.2,4
166,long,resistance,674,2024-11-21 13:00:00,2024-12-12 10:36:00,2024-12-12 11:13:00,70.38,70.18,70.48,70.18,stop_loss,-0.2,37
167,long,resistance,84,2024-12-03 17:30:00,2024-12-12 13:29:00,2024-12-12 13:48:00,70.23,70.33,70.33,70.03,take_profit,0.1,19
168,long,resistance,125,2024-12-04 14:30:00,2024-12-12 14:02:00,2024-12-12 14:03:00,70.37,70.17,70.47,70.17,stop_loss,-0.2,1
169,long,resistance,345,2024-12-11 07:00:00,2024-12-12 16:14:00,2024-12-12 16:15:00,69.18,69.28,69.28,68.98,take_profit,0.1,1
170,long,resistance,441,2024-12-13 08:00:00,2024-12-13 13:51:00,2024-12-13 13:53:00,70.37,70.47,70.47,70.17,take_profit,0.1,2
171,short,support,468,2024-12-13 21:30:00,2024-12-16 07:34:00,2024-12-16 07:47:00,71.05,70.95,70.95,71.25,take_profit,0.1,13
172,long,resistance,290,2024-11-11 09:00:00,2024-12-16 09:16:00,2024-12-16 09:18:00,70.56,70.66,70.66,70.36,take_profit,0.1,2
173,long,resistance,372,2024-12-11 20:30:00,2024-12-16 10:41:00,2024-12-16 10:44:00,70.53,70.63,70.63,70.33,take_profit,0.1,3
174,short,support,485,2024-12-16 06:30:00,2024-12-16 13:06:00,2024-12-16 13:33:00,70.78,70.68,70.68,70.98,take_profit,0.1,27
175,long,resistance,396,2024-12-12 09:00:00,2024-12-16 19:26:00,2024-12-16 19:30:00,70.72,70.82,70.82,70.52,take_profit,0.1,4
176,long,resistance,336,2024-12-11 02:30:00,2024-12-17 15:29:00,2024-12-17 15:32:00,69.08,69.18,69.18,68.88,take_profit,0.1,3
177,short,support,569,2024-12-18 01:30:00,2024-12-19 07:29:00,2024-12-19 07:55:00,69.62,69.52,69.52,69.82,take_profit,0.1,26
178,short,support,575,2024-12-18 04:30:00,2024-12-19 08:46:00,2024-12-19 09:03:00,69.64,69.84,69.54,69.84,stop_loss,-0.2,17
179,long,resistance,616,2024-12-19 01:30:00,2024-12-19 12:56:00,2024-12-19 13:00:00,69.69,69.79,69.79,69.49,take_profit,0.1,4
180,short,support,649,2024-12-19 18:00:00,2024-12-20 08:36:00,2024-12-20 08:40:00,69.19,69.09,69.09,69.39,take_profit,0.1,4
181,long,resistance,313,2024-12-10 14:30:00,2024-12-20 10:27:00,2024-12-20 10:32:00,68.61,68.71,68.71,68.41,take_profit,0.1,5
182,short,support,551,2024-12-17 16:00:00,2024-12-20 12:23:00,2024-12-20 12:50:00,68.81,69.01,68.71,69.01,stop_loss,-0.2,27
